image_type,min_quality,max_quality,colors,speed,dither,posterize,runtime_ms,compression_ratio,quality_ok
scatter,30,100,256,4,0.0,0,26.756792,2.2647739221871714,true
scatter,30,100,256,4,0.0,1,27.338500000000003,2.250888316031492,true
scatter,30,100,256,4,0.0,2,26.630083,2.400579580918413,true
scatter,30,100,256,4,0.0,3,24.711625,2.7436942675159237,true
scatter,30,100,256,4,0.0,4,23.450833,3.1139277108433734,true
scatter,30,100,256,4,0.5,0,36.643333,2.254029163468918,true
scatter,30,100,256,4,0.5,1,38.123125,2.2416736053288924,true
scatter,30,100,256,4,0.5,2,36.688667,1.5072078376487055,true
scatter,30,100,256,4,0.5,3,41.440709,1.5632167223109306,true
scatter,30,100,256,4,0.5,4,33.713917,1.5982487384980706,true
scatter,30,100,256,4,1.0,0,36.266375,2.226993865030675,true
scatter,30,100,256,4,1.0,1,36.047000000000004,2.0665899059681445,true
scatter,30,100,256,4,1.0,2,35.380792,1.3865665236051503,true
scatter,30,100,256,4,1.0,3,42.771457999999996,1.449134296223199,true
scatter,30,100,256,4,1.0,4,33.884125000000004,1.549199194399156,true
scatter,30,100,256,6,0.0,0,25.599417,2.26382173638848,true
scatter,30,100,256,6,0.0,1,25.542542,2.253871912934282,true
scatter,30,100,256,6,0.0,2,24.155334,2.4025433182122407,true
scatter,30,100,256,6,0.0,3,23.933291999999998,2.744160366941306,true
scatter,30,100,256,6,0.0,4,25.345291999999997,3.112127926018688,true
scatter,30,100,256,6,0.5,0,36.006083000000004,2.2519866164784608,true
scatter,30,100,256,6,0.5,1,34.46675,2.2446328076148125,true
scatter,30,100,256,6,0.5,2,34.350625,1.5112971885671516,true
scatter,30,100,256,6,0.5,3,40.950334,1.55621387283237,true
scatter,30,100,256,6,0.5,4,33.128875,1.597774480712166,true
scatter,30,100,256,6,1.0,0,35.528999999999996,2.2257664485015503,true
scatter,30,100,256,6,1.0,1,35.773625,2.0687071780751745,true
scatter,30,100,256,6,1.0,2,35.030708000000004,1.385615028306742,true
scatter,30,100,256,6,1.0,3,40.655833,1.4440173423322755,true
scatter,30,100,256,6,1.0,4,33.825834,1.548530892009778,true
scatter,30,100,256,8,0.0,0,17.020332999999997,2.2676352916403455,true
scatter,30,100,256,8,0.0,1,16.895,2.2570210982255134,true
scatter,30,100,256,8,0.0,2,16.482958999999997,2.388334442226658,true
scatter,30,100,256,8,0.0,3,16.5675,2.7397388059701493,true
scatter,30,100,256,8,0.0,4,15.95675,3.1256772445820435,true
scatter,30,100,256,8,0.5,0,18.975292,2.238722195274063,true
